State, Single-vehicle-crash deaths, Single-vehicle %, Multiple-vehicle-crash deaths, Multiple-vehicle %, Total deaths, Total %
Alabama, 514, 54, 439, 46, 953, 100
Alaska, 45, 56, 35, 44, 80, 100
Arizona, 581, 58, 429, 42, 1010, 100
Arkansas, 285, 55, 231, 45, 516, 100
California, 1956, 55, 1607, 45, 3563, 100
Colorado, 346, 55, 286, 45, 632, 100
Connecticut, 166, 56, 128, 44, 294, 100
Delaware, 55, 50, 56, 50, 111, 100
District of Columbia, 20, 65, 11, 35, 31, 100
Florida, 1621, 52, 1512, 48, 3133, 100
Georgia, 831, 55, 673, 45, 1504, 100
Hawaii, 72, 62, 45, 38, 117, 100
Idaho, 129, 56, 102, 44, 231, 100
Illinois, 528, 51, 503, 49, 1031, 100
Indiana, 427, 50, 431, 50, 858, 100
Iowa, 143, 45, 175, 55, 318, 100
Kansas, 201, 50, 203, 50, 404, 100
Kentucky, 378, 52, 346, 48, 724, 100
Louisiana, 448, 58, 320, 42, 768, 100
Maine, 83, 61, 54, 39, 137, 100
Maryland, 260, 52, 241, 48, 501, 100
Massachusetts, 214, 59, 146, 41, 360, 100
Michigan, 460, 47, 514, 53, 974, 100
Minnesota, 188, 49, 193, 51, 381, 100
Mississippi, 367, 55, 297, 45, 664, 100
Missouri, 478, 52, 443, 48, 921, 100
Montana, 129, 71, 53, 29, 182, 100
Nebraska, 98, 43, 132, 57, 230, 100
Nevada, 173, 52, 157, 48, 330, 100
New Hampshire, 87, 59, 60, 41, 147, 100
New Jersey, 309, 55, 255, 45, 564, 100
New Mexico, 220, 56, 171, 44, 391, 100
New York, 562, 60, 381, 40, 943, 100
North Carolina, 745, 52, 692, 48, 1437, 100
North Dakota, 53, 50, 52, 50, 105, 100
Ohio, 535, 50, 533, 50, 1068, 100
Oklahoma, 300, 46, 355, 54, 655, 100
Oregon, 275, 54, 231, 46, 506, 100
Pennsylvania, 629, 53, 561, 47, 1190, 100
Rhode Island, 36, 61, 23, 39, 59, 100
South Carolina, 573, 55, 464, 45, 1037, 100
South Dakota, 82, 63, 48, 37, 130, 100
Tennessee, 543, 52, 498, 48, 1041, 100
Texas, 1840, 51, 1802, 49, 3642, 100
Utah, 137, 53, 123, 47, 260, 100
Vermont, 37, 54, 31, 46, 68, 100
Virginia, 470, 57, 350, 43, 820, 100
Washington, 325, 60, 221, 40, 546, 100
West Virginia, 154, 52, 140, 48, 294, 100
Wisconsin, 312, 53, 276, 47, 588, 100
Wyoming, 61, 55, 50, 45, 111, 100
