State,regd autos 2012,regd autos 2018,% ∂ reg autos
Alabama,2024677,2161212,6%
Alaska,189301,183270,-3%
Arizona,2101007,2391772,12%
Arkansas,840272,921161,9%
California,12999038,15065827,14%
Colorado,1728413,1798177,4%
Connecticut,1370468,1306709,-5%
Delaware,438074,433363,-1%
Dist. of Col.,194711,209723,7%
Florida,7471652,7966091,6%
Georgia,3290675,3557469,7%
Hawaii,510652,509492,0%
Idaho,571308,598774,5%
Illinois,4670581,4477763,-4%
Indiana,2417986,2248870,-8%
Iowa,1333056,1242219,-7%
Kansas,945219,975171,3%
Kentucky,1517753,1721942,12%
Louisiana,1471603,1389249,-6%
Maine,469189,390506,-20%
Maryland,1941886,1922463,-1%
Massachusetts,2453950,2182530,-12%
Michigan,3376679,3023940,-12%
Minnesota,2127475,1976525,-8%
Mississippi,835482,825338,-1%
Missouri,2375420,2102216,-13%
Montana,428335,452845,5%
Nebraska,705329,683020,-3%
Nevada,923184,1073760,14%
New Hampshire,554717,506959,-9%
New Jersey,3931287,2754253,-43%
New Mexico,663677,655766,-1%
New York,4991599,4712779,-6%
North Carolina,3407241,3393781,0%
North Dakota,245398,240048,-2%
Ohio,4696974,4603594,-2%
Oklahoma,1347325,1296219,-4%
Oregon,1439867,1488623,3%
Pennsylvania,4728296,4424183,-7%
Rhode Island,448890,412255,-9%
South Carolina,1695615,1830186,7%
South Dakota,327336,358859,9%
Tennessee,2209551,2285329,3%
Texas,7679657,8248322,7%
Utah,823885,937421,12%
Vermont,248196,218302,-14%
Virginia,3227954,3267735,1%
Washington,2514500,2964939,15%
West Virginia,510947,560118,9%
Wisconsin,2208576,2087518,-6%
Wyoming,209408,203546,-3%
