State, Population, Vehicle miles traveled (millions), Fatal crashes, Deaths, Deaths per 100000 population, Deaths per 100 million vehicle miles traveled
Alabama, 4887871, 71167, 876, 953, 19.5, 1.34
Alaska, 737438, 5487, 69, 80, 10.8, 1.46
Arizona, 7171646, 66145, 916, 1010, 14.1, 1.53
Arkansas, 3013825, 36675, 472, 516, 17.1, 1.41
California, 39557045, 348796, 3259, 3563, 9.0, 1.02
Colorado, 5695564, 53954, 588, 632, 11.1, 1.17
Connecticut, 3572665, 31596, 276, 294, 8.2, 0.93
Delaware, 967171, 10179, 104, 111, 11.5, 1.09
District of Columbia, 702455, 3691, 30, 31, 4.4, 0.84
Florida, 21299325, 221816, 2915, 3133, 14.7, 1.41
Georgia, 10519475, 131456, 1407, 1504, 14.3, 1.14
Hawaii, 1420491, 10887, 110, 117, 8.2, 1.07
Idaho, 1754208, 17709, 212, 231, 13.2, 1.30
Illinois, 12741080, 107954, 948, 1031, 8.1, 0.96
Indiana, 6691878, 81529, 774, 858, 12.8, 1.05
Iowa, 3156145, 33282, 291, 318, 10.1, 0.96
Kansas, 2911505, 32190, 366, 404, 13.9, 1.26
Kentucky, 4468402, 49544, 664, 724, 16.2, 1.46
Louisiana, 4659978, 50045, 716, 768, 16.5, 1.53
Maine, 1338404, 14784, 128, 137, 10.2, 0.93
Maryland, 6042718, 59775, 474, 501, 8.3, 0.84
Massachusetts, 6902149, 66772, 343, 360, 5.2, 0.54
Michigan, 9995915, 102398, 905, 974, 9.7, 0.95
Minnesota, 5611179, 60438, 349, 381, 6.8, 0.63
Mississippi, 2986530, 40730, 597, 664, 22.2, 1.63
Missouri, 6126452, 76595, 848, 921, 15.0, 1.20
Montana, 1062305, 12700, 168, 182, 17.1, 1.43
Nebraska, 1929268, 20975, 201, 230, 11.9, 1.10
Nevada, 3034392, 28319, 300, 330, 10.9, 1.17
New Hampshire, 1356458, 13776, 134, 147, 10.8, 1.07
New Jersey, 8908520, 77539, 525, 564, 6.3, 0.73
New Mexico, 2095428, 27288, 350, 391, 18.7, 1.43
New York, 19542209, 123510, 889, 943, 4.8, 0.76
North Carolina, 10383620, 121127, 1321, 1437, 13.8, 1.19
North Dakota, 760077, 9856, 95, 105, 13.8, 1.07
Ohio, 11689442, 114474, 996, 1068, 9.1, 0.93
Oklahoma, 3943079, 45433, 603, 655, 16.6, 1.44
Oregon, 4190713, 36848, 450, 506, 12.1, 1.37
Pennsylvania, 12807060, 102109, 1103, 1190, 9.3, 1.17
Rhode Island, 1057315, 8009, 56, 59, 5.6, 0.74
South Carolina, 5084127, 56801, 970, 1037, 20.4, 1.83
South Dakota, 882235, 9719, 110, 130, 14.7, 1.34
Tennessee, 6770010, 81321, 974, 1041, 15.4, 1.28
Texas, 28701845, 282037, 3305, 3642, 12.7, 1.29
Utah, 3161105, 32069, 237, 260, 8.2, 0.81
Vermont, 626299, 7346, 60, 68, 10.9, 0.93
Virginia, 8517685, 85336, 778, 820, 9.6, 0.96
Washington, 7535591, 62367, 497, 546, 7.2, 0.88
West Virginia, 1805832, 19447, 265, 294, 16.3, 1.51
Wisconsin, 5813568, 65885, 530, 588, 10.1, 0.89
Wyoming, 577737, 10438, 100, 111, 19.2, 1.06
