State, daytime-restraint-%, killed-belted, killed-belted %, killed-no-belt, killed-no-belt %, killed-unknown-belt, killed-unknown-belt %, total-kille-passenger-vehicles 
Alabama, 92, 301, 42, 359, 50, 63, 9, 723
Alaska, 92, 20, 43, 22, 47, 5, 11, 47
Arizona, 86, 197, 39, 235, 47, 69, 14, 501
Arkansas, 78, 144, 41, 178, 51, 30, 9, 352
California, 96, 1170, 61, 594, 31, 160, 8, 1924
Colorado, 86, 172, 43, 216, 54, 15, 4, 403
Connecticut, 92, 76, 43, 69, 39, 32, 18, 177
Delaware, 92, 29, 46, 33, 52, 1, 2, 63
District of Columbia, 95, 3, 38, 1, 12, 4, 50, 8
Florida, 91, 844, 53, 703, 44, 45, 3, 1592
Georgia, 96, 448, 45, 442, 44, 105, 11, 995
Hawaii, 98, 12, 33, 15, 42, 9, 25, 36
Idaho, 85, 59, 38, 82, 53, 13, 8, 154
Illinois, 95, 330, 49, 249, 37, 96, 14, 675
Indiana, 93, 272, 48, 214, 38, 79, 14, 565
Iowa, 94, 120, 54, 78, 35, 26, 12, 224
Kansas, 84, 133, 46, 130, 45, 25, 9, 288
Kentucky, 90, 236, 46, 281, 54, 0, 0, 517
Louisiana, 87, 212, 45, 223, 47, 36, 8, 471
Maine, 89, 51, 50, 50, 50, 0, 0, 101
Maryland, 90, 159, 54, 104, 36, 29, 10, 292
Massachusetts, 82, 65, 31, 103, 49, 42, 20, 210
Michigan, 93, 354, 55, 182, 28, 104, 16, 640
Minnesota, 92, 123, 48, 84, 33, 47, 19, 254
Mississippi, 80, 208, 42, 281, 57, 5, 1, 494
Missouri, 87, 233, 35, 385, 58, 46, 7, 664
Montana, 87, 45, 33, 87, 64, 3, 2, 135
Nebraska, 86, 57, 35, 88, 53, 20, 12, 165
Nevada, 92, 89, 51, 77, 45, 7, 4, 173
New Hampshire, 76, 29, 28, 71, 70, 2, 2, 102
New Jersey, 95, 159, 53, 126, 42, 13, 4, 298
New Mexico, 90, 90, 39, 116, 51, 23, 10, 229
New York, 93, 259, 55, 153, 33, 57, 12, 469
North Carolina, 91, 522, 54, 395, 41, 44, 5, 961
North Dakota, 83, 29, 39, 37, 49, 9, 12, 75
Ohio, 85, 321, 44, 334, 46, 77, 11, 732
Oklahoma, 86, 205, 46, 209, 46, 36, 8, 450
Oregon, 96, 156, 54, 76, 26, 57, 20, 289
Pennsylvania, 89, 266, 35, 386, 51, 104, 14, 756
Rhode Island, 89, 13, 43, 13, 43, 4, 13, 30
South Carolina, 90, 318, 47, 332, 49, 33, 5, 683
South Dakota, 79, 29, 31, 60, 63, 6, 6, 95
Tennessee, 91, 345, 50, 293, 42, 52, 8, 690
Texas, 91, 1241, 52, 946, 40, 200, 8, 2387
Utah, 89, 87, 55, 50, 32, 20, 13, 157
Vermont, 90, 20, 39, 29, 57, 2, 4, 51
Virginia, 84, 255, 46, 296, 53, 6, 1, 557
Washington, 93, 186, 56, 109, 33, 39, 12, 334
West Virginia, 91, 94, 47, 72, 36, 33, 17, 199
Wisconsin, 89, 204, 48, 158, 38, 59, 14, 421
Wyoming, 86, 33, 40, 43, 52, 7, 8, 83
